gameId|devId|lastUpdate
1|1|E'2020-11-29 20:59:43'
2|2|E'2020-11-29 20:59:43'
3|3|E'2020-11-29 20:59:43'
4|4|E'2020-11-29 20:59:43'
5|5|E'2020-11-29 20:59:43'
6|4|E'2020-11-29 20:59:43'
7|1|E'2020-11-29 20:59:43'
8|8|E'2020-11-29 20:59:43'
9|9|E'2020-11-29 20:59:43'
10|10|E'2020-11-29 20:59:43'
11|11|E'2020-11-29 20:59:43'
12|12|E'2020-11-29 20:59:43'
13|10|E'2020-11-29 20:59:43'
14|14|E'2020-11-29 20:59:43'
15|15|E'2020-11-29 20:59:43'
16|16|E'2020-11-29 20:59:43'
17|17|E'2020-11-29 20:59:43'
18|18|E'2020-11-29 20:59:43'
19|19|E'2020-11-29 20:59:43'
20|15|E'2020-11-29 20:59:43'
21|21|E'2020-11-29 20:59:43'
22|22|E'2020-11-29 20:59:43'
23|1|E'2020-11-29 20:59:43'
24|14|E'2020-11-29 20:59:43'
25|25|E'2020-11-29 20:59:43'
26|26|E'2020-11-29 20:59:43'
27|27|E'2020-11-29 20:59:43'
28|28|E'2020-11-29 20:59:43'
29|25|E'2020-11-29 20:59:43'
30|30|E'2020-11-29 20:59:43'
31|31|E'2020-11-29 20:59:43'
32|32|E'2020-11-29 20:59:43'
33|25|E'2020-11-29 20:59:43'
34|34|E'2020-11-29 20:59:43'
35|35|E'2020-11-29 20:59:43'
36|36|E'2020-11-29 20:59:43'
37|27|E'2020-11-29 20:59:43'
38|38|E'2020-11-29 20:59:43'
39|39|E'2020-11-29 20:59:43'
40|31|E'2020-11-29 20:59:43'
41|41|E'2020-11-29 20:59:43'
42|42|E'2020-11-29 20:59:43'
43|43|E'2020-11-29 20:59:43'
44|9|E'2020-11-29 20:59:43'
45|45|E'2020-11-29 20:59:43'
46|45|E'2020-11-29 20:59:43'
47|31|E'2020-11-29 20:59:43'
48|48|E'2020-11-29 20:59:43'
49|21|E'2020-11-29 20:59:43'
50|15|E'2020-11-29 20:59:43'
51|51|E'2020-11-29 20:59:43'
52|52|E'2020-11-29 20:59:43'
53|43|E'2020-11-29 20:59:43'
54|54|E'2020-11-29 20:59:43'
55|55|E'2020-11-29 20:59:43'
56|42|E'2020-11-29 20:59:43'
57|57|E'2020-11-29 20:59:43'
58|26|E'2020-11-29 20:59:43'
59|35|E'2020-11-29 20:59:43'
60|60|E'2020-11-29 20:59:43'
61|61|E'2020-11-29 20:59:43'
62|62|E'2020-11-29 20:59:43'
63|63|E'2020-11-29 20:59:43'
64|64|E'2020-11-29 20:59:43'
65|31|E'2020-11-29 20:59:43'
66|66|E'2020-11-29 20:59:43'
67|67|E'2020-11-29 20:59:43'
68|43|E'2020-11-29 20:59:43'
69|42|E'2020-11-29 20:59:43'
70|25|E'2020-11-29 20:59:43'
71|41|E'2020-11-29 20:59:43'
72|72|E'2020-11-29 20:59:43'
73|73|E'2020-11-29 20:59:43'
74|73|E'2020-11-29 20:59:43'
75|75|E'2020-11-29 20:59:43'
76|55|E'2020-11-29 20:59:43'
77|77|E'2020-11-29 20:59:43'
78|78|E'2020-11-29 20:59:43'
79|1|E'2020-11-29 20:59:43'
80|4|E'2020-11-29 20:59:43'
81|81|E'2020-11-29 20:59:43'
82|82|E'2020-11-29 20:59:43'
83|83|E'2020-11-29 20:59:43'
84|73|E'2020-11-29 20:59:43'
85|78|E'2020-11-29 20:59:43'
86|86|E'2020-11-29 20:59:43'
87|41|E'2020-11-29 20:59:43'
88|11|E'2020-11-29 20:59:43'
89|57|E'2020-11-29 20:59:43'
90|90|E'2020-11-29 20:59:43'
91|91|E'2020-11-29 20:59:43'
92|92|E'2020-11-29 20:59:43'
93|93|E'2020-11-29 20:59:43'
94|8|E'2020-11-29 20:59:43'
95|73|E'2020-11-29 20:59:43'
96|90|E'2020-11-29 20:59:43'
97|97|E'2020-11-29 20:59:43'
98|98|E'2020-11-29 20:59:43'
99|11|E'2020-11-29 20:59:43'
100|100|E'2020-11-29 20:59:43'
101|101|E'2020-11-29 20:59:43'
102|28|E'2020-11-29 20:59:43'
103|103|E'2020-11-29 20:59:43'
104|104|E'2020-11-29 20:59:43'
105|105|E'2020-11-29 20:59:43'
106|106|E'2020-11-29 20:59:43'
107|107|E'2020-11-29 20:59:43'
108|43|E'2020-11-29 20:59:43'
109|109|E'2020-11-29 20:59:43'
110|31|E'2020-11-29 20:59:43'
111|14|E'2020-11-29 20:59:43'
112|112|E'2020-11-29 20:59:43'
113|39|E'2020-11-29 20:59:43'
114|114|E'2020-11-29 20:59:43'
115|35|E'2020-11-29 20:59:43'
116|116|E'2020-11-29 20:59:43'
117|117|E'2020-11-29 20:59:43'
118|118|E'2020-11-29 20:59:43'
119|73|E'2020-11-29 20:59:43'
120|120|E'2020-11-29 20:59:43'
121|121|E'2020-11-29 20:59:43'
122|73|E'2020-11-29 20:59:43'
123|21|E'2020-11-29 20:59:43'
124|124|E'2020-11-29 20:59:43'
125|125|E'2020-11-29 20:59:43'
126|126|E'2020-11-29 20:59:43'
127|72|E'2020-11-29 20:59:43'
128|31|E'2020-11-29 20:59:43'
129|129|E'2020-11-29 20:59:43'
130|130|E'2020-11-29 20:59:43'
131|131|E'2020-11-29 20:59:43'
132|132|E'2020-11-29 20:59:43'
133|133|E'2020-11-29 20:59:43'
134|134|E'2020-11-29 20:59:43'
135|45|E'2020-11-29 20:59:43'
136|136|E'2020-11-29 20:59:43'
137|16|E'2020-11-29 20:59:43'
138|1|E'2020-11-29 20:59:43'
139|130|E'2020-11-29 20:59:43'
140|140|E'2020-11-29 20:59:43'
141|77|E'2020-11-29 20:59:43'
142|73|E'2020-11-29 20:59:43'
143|143|E'2020-11-29 20:59:43'
144|144|E'2020-11-29 20:59:43'
145|130|E'2020-11-29 20:59:43'
146|73|E'2020-11-29 20:59:43'
147|90|E'2020-11-29 20:59:43'
148|83|E'2020-11-29 20:59:43'
149|11|E'2020-11-29 20:59:43'
150|11|E'2020-11-29 20:59:43'
151|151|E'2020-11-29 20:59:43'
152|8|E'2020-11-29 20:59:43'
153|153|E'2020-11-29 20:59:43'
154|31|E'2020-11-29 20:59:43'
155|155|E'2020-11-29 20:59:43'
156|14|E'2020-11-29 20:59:43'
157|78|E'2020-11-29 20:59:43'
158|158|E'2020-11-29 20:59:43'
159|159|E'2020-11-29 20:59:43'
160|160|E'2020-11-29 20:59:43'
161|161|E'2020-11-29 20:59:43'
162|162|E'2020-11-29 20:59:43'
163|15|E'2020-11-29 20:59:43'
164|22|E'2020-11-29 20:59:43'
165|165|E'2020-11-29 20:59:43'
166|166|E'2020-11-29 20:59:43'
167|151|E'2020-11-29 20:59:43'
168|168|E'2020-11-29 20:59:43'
169|130|E'2020-11-29 20:59:43'
170|170|E'2020-11-29 20:59:43'
171|41|E'2020-11-29 20:59:43'
172|14|E'2020-11-29 20:59:43'
173|173|E'2020-11-29 20:59:43'
174|174|E'2020-11-29 20:59:43'
175|130|E'2020-11-29 20:59:43'
176|140|E'2020-11-29 20:59:43'
177|177|E'2020-11-29 20:59:43'
178|43|E'2020-11-29 20:59:43'
179|11|E'2020-11-29 20:59:43'
180|126|E'2020-11-29 20:59:43'
181|181|E'2020-11-29 20:59:43'
182|41|E'2020-11-29 20:59:43'
183|183|E'2020-11-29 20:59:43'
184|12|E'2020-11-29 20:59:43'
185|82|E'2020-11-29 20:59:43'
186|186|E'2020-11-29 20:59:43'
187|187|E'2020-11-29 20:59:43'
188|14|E'2020-11-29 20:59:43'
189|189|E'2020-11-29 20:59:43'
190|11|E'2020-11-29 20:59:43'
191|191|E'2020-11-29 20:59:43'
192|153|E'2020-11-29 20:59:43'
193|193|E'2020-11-29 20:59:43'
194|77|E'2020-11-29 20:59:43'
195|195|E'2020-11-29 20:59:43'
196|183|E'2020-11-29 20:59:43'
197|197|E'2020-11-29 20:59:43'
198|198|E'2020-11-29 20:59:43'
199|118|E'2020-11-29 20:59:43'
200|200|E'2020-11-29 20:59:43'
201|201|E'2020-11-29 20:59:43'
202|202|E'2020-11-29 20:59:43'
203|203|E'2020-11-29 20:59:43'
204|11|E'2020-11-29 20:59:43'
205|114|E'2020-11-29 20:59:43'
206|126|E'2020-11-29 20:59:43'
207|11|E'2020-11-29 20:59:43'
208|208|E'2020-11-29 20:59:43'
209|209|E'2020-11-29 20:59:43'
210|210|E'2020-11-29 20:59:43'
211|211|E'2020-11-29 20:59:43'
212|212|E'2020-11-29 20:59:43'
213|189|E'2020-11-29 20:59:43'
214|41|E'2020-11-29 20:59:43'
215|36|E'2020-11-29 20:59:43'
216|216|E'2020-11-29 20:59:43'
217|34|E'2020-11-29 20:59:43'
218|92|E'2020-11-29 20:59:43'
219|166|E'2020-11-29 20:59:43'
220|181|E'2020-11-29 20:59:43'
221|14|E'2020-11-29 20:59:43'
222|202|E'2020-11-29 20:59:43'
223|223|E'2020-11-29 20:59:43'
224|170|E'2020-11-29 20:59:43'
225|77|E'2020-11-29 20:59:43'
226|130|E'2020-11-29 20:59:43'
227|43|E'2020-11-29 20:59:43'
228|42|E'2020-11-29 20:59:43'
229|107|E'2020-11-29 20:59:43'
230|198|E'2020-11-29 20:59:43'
231|34|E'2020-11-29 20:59:43'
232|232|E'2020-11-29 20:59:43'
233|162|E'2020-11-29 20:59:43'
234|130|E'2020-11-29 20:59:43'
235|2|E'2020-11-29 20:59:43'
236|236|E'2020-11-29 20:59:43'
237|237|E'2020-11-29 20:59:43'
238|238|E'2020-11-29 20:59:43'
239|239|E'2020-11-29 20:59:43'
240|240|E'2020-11-29 20:59:43'
241|241|E'2020-11-29 20:59:43'
242|210|E'2020-11-29 20:59:43'
243|210|E'2020-11-29 20:59:43'
244|90|E'2020-11-29 20:59:43'
245|245|E'2020-11-29 20:59:43'
246|246|E'2020-11-29 20:59:43'
247|81|E'2020-11-29 20:59:43'
248|248|E'2020-11-29 20:59:43'
249|249|E'2020-11-29 20:59:43'
250|250|E'2020-11-29 20:59:43'
251|4|E'2020-11-29 20:59:43'
252|252|E'2020-11-29 20:59:43'
253|82|E'2020-11-29 20:59:43'
254|254|E'2020-11-29 20:59:43'
255|250|E'2020-11-29 20:59:43'
256|256|E'2020-11-29 20:59:43'
257|78|E'2020-11-29 20:59:43'
258|90|E'2020-11-29 20:59:43'
259|28|E'2020-11-29 20:59:43'
260|11|E'2020-11-29 20:59:43'
261|177|E'2020-11-29 20:59:43'
262|262|E'2020-11-29 20:59:43'
263|11|E'2020-11-29 20:59:43'
264|101|E'2020-11-29 20:59:43'
265|130|E'2020-11-29 20:59:43'
266|11|E'2020-11-29 20:59:43'
267|126|E'2020-11-29 20:59:43'
268|73|E'2020-11-29 20:59:43'
269|177|E'2020-11-29 20:59:43'
270|270|E'2020-11-29 20:59:43'
271|271|E'2020-11-29 20:59:43'
272|43|E'2020-11-29 20:59:43'
273|273|E'2020-11-29 20:59:43'
274|209|E'2020-11-29 20:59:43'
275|11|E'2020-11-29 20:59:43'
276|198|E'2020-11-29 20:59:43'
277|277|E'2020-11-29 20:59:43'
278|170|E'2020-11-29 20:59:43'
279|28|E'2020-11-29 20:59:43'
280|15|E'2020-11-29 20:59:43'
281|281|E'2020-11-29 20:59:43'
282|282|E'2020-11-29 20:59:43'
283|21|E'2020-11-29 20:59:43'
284|284|E'2020-11-29 20:59:43'
285|112|E'2020-11-29 20:59:43'
286|12|E'2020-11-29 20:59:43'
287|90|E'2020-11-29 20:59:43'
288|288|E'2020-11-29 20:59:43'
289|43|E'2020-11-29 20:59:43'
290|290|E'2020-11-29 20:59:43'
291|291|E'2020-11-29 20:59:43'
292|8|E'2020-11-29 20:59:43'
293|31|E'2020-11-29 20:59:43'
294|34|E'2020-11-29 20:59:43'
295|15|E'2020-11-29 20:59:43'
296|249|E'2020-11-29 20:59:43'
297|170|E'2020-11-29 20:59:43'
298|298|E'2020-11-29 20:59:43'
299|35|E'2020-11-29 20:59:43'
300|208|E'2020-11-29 20:59:43'
301|301|E'2020-11-29 20:59:43'
302|11|E'2020-11-29 20:59:43'
303|45|E'2020-11-29 20:59:43'
304|304|E'2020-11-29 20:59:43'
305|92|E'2020-11-29 20:59:43'
306|15|E'2020-11-29 20:59:43'
307|90|E'2020-11-29 20:59:43'
308|308|E'2020-11-29 20:59:43'
309|309|E'2020-11-29 20:59:43'
310|45|E'2020-11-29 20:59:43'
311|54|E'2020-11-29 20:59:43'
312|4|E'2020-11-29 20:59:43'
313|26|E'2020-11-29 20:59:43'
314|238|E'2020-11-29 20:59:43'
315|170|E'2020-11-29 20:59:43'
316|316|E'2020-11-29 20:59:43'
317|238|E'2020-11-29 20:59:43'
318|28|E'2020-11-29 20:59:43'
319|319|E'2020-11-29 20:59:43'
320|93|E'2020-11-29 20:59:43'
321|321|E'2020-11-29 20:59:43'
322|144|E'2020-11-29 20:59:43'
323|323|E'2020-11-29 20:59:43'
324|238|E'2020-11-29 20:59:43'
325|325|E'2020-11-29 20:59:43'
326|254|E'2020-11-29 20:59:43'
327|327|E'2020-11-29 20:59:43'
328|41|E'2020-11-29 20:59:43'
329|166|E'2020-11-29 20:59:43'
