userId|gameId|lastUpdate
1|2556|'2020-11-29 21:28:14'
1|2379|'2020-11-29 21:28:14'
1|2718|'2020-11-29 21:28:14'
1|3886|'2020-11-29 21:28:14'
1|2499|'2020-11-29 21:28:14'
1|2787|'2020-11-29 21:28:14'
1|811|'2020-11-29 21:28:14'
1|2661|'2020-11-29 21:28:14'
1|1979|'2020-11-29 21:28:14'
1|294|'2020-11-29 21:28:14'
1|2991|'2020-11-29 21:28:14'
1|2365|'2020-11-29 21:28:14'
1|1951|'2020-11-29 21:28:14'
1|2025|'2020-11-29 21:28:14'
1|2940|'2020-11-29 21:28:14'
1|1125|'2020-11-29 21:28:14'
1|1604|'2020-11-29 21:28:14'
1|255|'2020-11-29 21:28:14'
1|1092|'2020-11-29 21:28:14'
1|1030|'2020-11-29 21:28:14'
1|1628|'2020-11-29 21:28:14'
1|2328|'2020-11-29 21:28:14'
1|1910|'2020-11-29 21:28:14'
1|3667|'2020-11-29 21:28:14'
1|3431|'2020-11-29 21:28:14'
1|798|'2020-11-29 21:28:14'
1|2095|'2020-11-29 21:28:14'
1|988|'2020-11-29 21:28:14'
1|3472|'2020-11-29 21:28:14'
1|803|'2020-11-29 21:28:14'
1|1515|'2020-11-29 21:28:14'
1|3823|'2020-11-29 21:28:14'
1|2666|'2020-11-29 21:28:14'
1|956|'2020-11-29 21:28:14'
1|1209|'2020-11-29 21:28:14'
1|3583|'2020-11-29 21:28:14'
1|3438|'2020-11-29 21:28:14'
2|2635|'2020-11-29 21:28:14'
2|2362|'2020-11-29 21:28:14'
2|213|'2020-11-29 21:28:14'
2|3994|'2020-11-29 21:28:14'
2|3909|'2020-11-29 21:28:14'
2|2074|'2020-11-29 21:28:14'
2|3702|'2020-11-29 21:28:14'
2|3739|'2020-11-29 21:28:14'
2|3258|'2020-11-29 21:28:14'
2|3008|'2020-11-29 21:28:14'
2|1284|'2020-11-29 21:28:14'
2|55|'2020-11-29 21:28:14'
2|3019|'2020-11-29 21:28:14'
2|2723|'2020-11-29 21:28:14'
2|868|'2020-11-29 21:28:14'
2|2462|'2020-11-29 21:28:14'
2|3366|'2020-11-29 21:28:14'
2|2300|'2020-11-29 21:28:14'
2|2499|'2020-11-29 21:28:14'
2|2722|'2020-11-29 21:28:14'
2|2928|'2020-11-29 21:28:14'
2|1188|'2020-11-29 21:28:14'
2|1724|'2020-11-29 21:28:14'
2|3521|'2020-11-29 21:28:14'
2|71|'2020-11-29 21:28:14'
2|7|'2020-11-29 21:28:14'
2|2957|'2020-11-29 21:28:14'
2|741|'2020-11-29 21:28:14'
2|3049|'2020-11-29 21:28:14'
2|2529|'2020-11-29 21:28:14'
2|1012|'2020-11-29 21:28:14'
2|468|'2020-11-29 21:28:14'
2|2261|'2020-11-29 21:28:14'
2|1168|'2020-11-29 21:28:14'
2|3678|'2020-11-29 21:28:14'
2|588|'2020-11-29 21:28:14'
2|1236|'2020-11-29 21:28:14'
2|1333|'2020-11-29 21:28:14'
2|1325|'2020-11-29 21:28:14'
2|3903|'2020-11-29 21:28:14'
2|1847|'2020-11-29 21:28:14'
2|2519|'2020-11-29 21:28:14'
2|3506|'2020-11-29 21:28:14'
2|3467|'2020-11-29 21:28:14'
2|3816|'2020-11-29 21:28:14'
2|2675|'2020-11-29 21:28:14'
2|459|'2020-11-29 21:28:14'
2|3663|'2020-11-29 21:28:14'
2|326|'2020-11-29 21:28:14'
2|1639|'2020-11-29 21:28:14'
3|2380|'2020-11-29 21:28:14'
3|3922|'2020-11-29 21:28:14'
3|1842|'2020-11-29 21:28:14'
3|3990|'2020-11-29 21:28:14'
3|1083|'2020-11-29 21:28:14'
3|2616|'2020-11-29 21:28:14'
3|2175|'2020-11-29 21:28:14'
3|3325|'2020-11-29 21:28:14'
3|143|'2020-11-29 21:28:14'
3|1759|'2020-11-29 21:28:14'
3|1902|'2020-11-29 21:28:14'
3|853|'2020-11-29 21:28:14'
3|2421|'2020-11-29 21:28:14'
3|2942|'2020-11-29 21:28:14'
3|796|'2020-11-29 21:28:14'
3|1283|'2020-11-29 21:28:14'
3|3870|'2020-11-29 21:28:14'
3|2596|'2020-11-29 21:28:14'
3|3959|'2020-11-29 21:28:14'
3|2159|'2020-11-29 21:28:14'
3|3685|'2020-11-29 21:28:14'
3|757|'2020-11-29 21:28:14'
3|3091|'2020-11-29 21:28:14'
3|1266|'2020-11-29 21:28:14'
3|1736|'2020-11-29 21:28:14'
3|2285|'2020-11-29 21:28:14'
3|1371|'2020-11-29 21:28:14'
3|3656|'2020-11-29 21:28:14'
4|756|'2020-11-29 21:28:14'
4|3886|'2020-11-29 21:28:14'
4|2955|'2020-11-29 21:28:14'
4|3607|'2020-11-29 21:28:14'
4|1116|'2020-11-29 21:28:14'
4|376|'2020-11-29 21:28:14'
4|1663|'2020-11-29 21:28:14'
4|3381|'2020-11-29 21:28:14'
4|1226|'2020-11-29 21:28:14'
4|969|'2020-11-29 21:28:14'
4|2513|'2020-11-29 21:28:14'
4|2087|'2020-11-29 21:28:14'
4|2438|'2020-11-29 21:28:14'
4|3835|'2020-11-29 21:28:14'
4|1096|'2020-11-29 21:28:14'
4|3437|'2020-11-29 21:28:14'
4|1078|'2020-11-29 21:28:14'
4|2993|'2020-11-29 21:28:14'
4|3001|'2020-11-29 21:28:14'
4|1517|'2020-11-29 21:28:14'
4|346|'2020-11-29 21:28:14'
4|572|'2020-11-29 21:28:14'
4|1694|'2020-11-29 21:28:14'
4|3286|'2020-11-29 21:28:14'
4|178|'2020-11-29 21:28:14'
4|2665|'2020-11-29 21:28:14'
4|1712|'2020-11-29 21:28:14'
4|2191|'2020-11-29 21:28:14'
4|280|'2020-11-29 21:28:14'
4|232|'2020-11-29 21:28:14'
4|192|'2020-11-29 21:28:14'
4|1268|'2020-11-29 21:28:14'
4|2977|'2020-11-29 21:28:14'
4|612|'2020-11-29 21:28:14'
4|2707|'2020-11-29 21:28:14'
4|2093|'2020-11-29 21:28:14'
4|2794|'2020-11-29 21:28:14'
4|859|'2020-11-29 21:28:14'
4|3360|'2020-11-29 21:28:14'
5|3808|'2020-11-29 21:28:14'
5|3450|'2020-11-29 21:28:14'
5|1609|'2020-11-29 21:28:14'
5|1278|'2020-11-29 21:28:14'
5|3762|'2020-11-29 21:28:14'
5|1501|'2020-11-29 21:28:14'
5|4005|'2020-11-29 21:28:14'
5|3003|'2020-11-29 21:28:14'
5|3678|'2020-11-29 21:28:14'
5|2937|'2020-11-29 21:28:14'
5|3675|'2020-11-29 21:28:14'
5|72|'2020-11-29 21:28:14'
5|1392|'2020-11-29 21:28:14'
5|3727|'2020-11-29 21:28:14'
5|1450|'2020-11-29 21:28:14'
5|1982|'2020-11-29 21:28:14'
5|2144|'2020-11-29 21:28:14'
5|3090|'2020-11-29 21:28:14'
5|3038|'2020-11-29 21:28:14'
5|224|'2020-11-29 21:28:14'
5|1942|'2020-11-29 21:28:14'
5|3875|'2020-11-29 21:28:14'
5|1954|'2020-11-29 21:28:14'
5|3504|'2020-11-29 21:28:14'
5|2273|'2020-11-29 21:28:14'
5|3109|'2020-11-29 21:28:14'
5|541|'2020-11-29 21:28:14'
5|198|'2020-11-29 21:28:14'
5|766|'2020-11-29 21:28:14'
5|3990|'2020-11-29 21:28:14'
5|3212|'2020-11-29 21:28:14'
5|788|'2020-11-29 21:28:14'
5|1603|'2020-11-29 21:28:14'
5|1673|'2020-11-29 21:28:14'
5|3832|'2020-11-29 21:28:14'
5|1408|'2020-11-29 21:28:14'
5|2166|'2020-11-29 21:28:14'
5|1079|'2020-11-29 21:28:14'
5|602|'2020-11-29 21:28:14'
5|184|'2020-11-29 21:28:14'
5|2365|'2020-11-29 21:28:14'
5|2178|'2020-11-29 21:28:14'
5|2383|'2020-11-29 21:28:14'
5|180|'2020-11-29 21:28:14'
5|3068|'2020-11-29 21:28:14'
5|160|'2020-11-29 21:28:14'
5|567|'2020-11-29 21:28:14'
5|1608|'2020-11-29 21:28:14'
6|2451|'2020-11-29 21:28:14'
6|2525|'2020-11-29 21:28:14'
6|2189|'2020-11-29 21:28:14'
6|2384|'2020-11-29 21:28:14'
6|2217|'2020-11-29 21:28:14'
6|1383|'2020-11-29 21:28:14'
6|495|'2020-11-29 21:28:14'
6|2843|'2020-11-29 21:28:14'
6|1867|'2020-11-29 21:28:14'
6|1346|'2020-11-29 21:28:14'
6|338|'2020-11-29 21:28:14'
6|2240|'2020-11-29 21:28:14'
6|139|'2020-11-29 21:28:14'
6|974|'2020-11-29 21:28:14'
6|2912|'2020-11-29 21:28:14'
6|3827|'2020-11-29 21:28:14'
6|3110|'2020-11-29 21:28:14'
6|634|'2020-11-29 21:28:14'
6|936|'2020-11-29 21:28:14'
6|3875|'2020-11-29 21:28:14'
6|618|'2020-11-29 21:28:14'
6|1300|'2020-11-29 21:28:14'
6|2910|'2020-11-29 21:28:14'
6|2073|'2020-11-29 21:28:14'
6|3182|'2020-11-29 21:28:14'
6|1941|'2020-11-29 21:28:14'
6|120|'2020-11-29 21:28:14'
6|2463|'2020-11-29 21:28:14'
6|1527|'2020-11-29 21:28:14'
6|2528|'2020-11-29 21:28:14'
6|323|'2020-11-29 21:28:14'
6|3338|'2020-11-29 21:28:14'
6|3805|'2020-11-29 21:28:14'
6|348|'2020-11-29 21:28:14'
6|794|'2020-11-29 21:28:14'
6|1136|'2020-11-29 21:28:14'
6|3368|'2020-11-29 21:28:14'
6|2895|'2020-11-29 21:28:14'
6|2984|'2020-11-29 21:28:14'
6|1165|'2020-11-29 21:28:14'
6|3668|'2020-11-29 21:28:14'
6|2590|'2020-11-29 21:28:14'
6|2395|'2020-11-29 21:28:14'
6|2338|'2020-11-29 21:28:14'
6|1896|'2020-11-29 21:28:14'
7|3078|'2020-11-29 21:28:14'
7|3686|'2020-11-29 21:28:14'
7|543|'2020-11-29 21:28:14'
7|3332|'2020-11-29 21:28:14'
7|323|'2020-11-29 21:28:14'
7|182|'2020-11-29 21:28:14'
7|1883|'2020-11-29 21:28:14'
7|578|'2020-11-29 21:28:14'
7|1520|'2020-11-29 21:28:14'
7|1849|'2020-11-29 21:28:14'
7|133|'2020-11-29 21:28:14'
7|484|'2020-11-29 21:28:14'
7|812|'2020-11-29 21:28:14'
7|3391|'2020-11-29 21:28:14'
7|1920|'2020-11-29 21:28:14'
7|70|'2020-11-29 21:28:14'
7|2720|'2020-11-29 21:28:14'
7|474|'2020-11-29 21:28:14'
7|1290|'2020-11-29 21:28:14'
7|3865|'2020-11-29 21:28:14'
7|1338|'2020-11-29 21:28:14'
7|3287|'2020-11-29 21:28:14'
7|3747|'2020-11-29 21:28:14'
7|1233|'2020-11-29 21:28:14'
7|4000|'2020-11-29 21:28:14'
7|3689|'2020-11-29 21:28:14'
7|1741|'2020-11-29 21:28:14'
7|1650|'2020-11-29 21:28:14'
8|3892|'2020-11-29 21:28:14'
8|1814|'2020-11-29 21:28:14'
8|1728|'2020-11-29 21:28:14'
8|2949|'2020-11-29 21:28:14'
8|3358|'2020-11-29 21:28:14'
8|3337|'2020-11-29 21:28:14'
8|2588|'2020-11-29 21:28:14'
8|903|'2020-11-29 21:28:14'
8|961|'2020-11-29 21:28:14'
8|1028|'2020-11-29 21:28:14'
8|3071|'2020-11-29 21:28:14'
8|1098|'2020-11-29 21:28:14'
8|1192|'2020-11-29 21:28:14'
8|3950|'2020-11-29 21:28:14'
8|572|'2020-11-29 21:28:14'
8|2645|'2020-11-29 21:28:14'
8|73|'2020-11-29 21:28:14'
8|780|'2020-11-29 21:28:14'
8|447|'2020-11-29 21:28:14'
8|1704|'2020-11-29 21:28:14'
8|3119|'2020-11-29 21:28:14'
8|382|'2020-11-29 21:28:14'
8|3227|'2020-11-29 21:28:14'
8|3045|'2020-11-29 21:28:14'
8|2692|'2020-11-29 21:28:14'
8|2299|'2020-11-29 21:28:14'
8|1448|'2020-11-29 21:28:14'
8|2952|'2020-11-29 21:28:14'
8|175|'2020-11-29 21:28:14'
8|582|'2020-11-29 21:28:14'
8|1454|'2020-11-29 21:28:14'
8|1132|'2020-11-29 21:28:14'
8|3050|'2020-11-29 21:28:14'
8|2008|'2020-11-29 21:28:14'
8|3591|'2020-11-29 21:28:14'
8|1584|'2020-11-29 21:28:14'
