gameId|platformId|lastUpdate
1|1|E'2020-11-29 20:59:44'
2|2|E'2020-11-29 20:59:44'
3|1|E'2020-11-29 20:59:44'
4|1|E'2020-11-29 20:59:44'
5|3|E'2020-11-29 20:59:44'
6|2|E'2020-11-29 20:59:44'
7|1|E'2020-11-29 20:59:44'
8|3|E'2020-11-29 20:59:44'
9|2|E'2020-11-29 20:59:44'
10|2|E'2020-11-29 20:59:44'
11|1|E'2020-11-29 20:59:44'
12|1|E'2020-11-29 20:59:44'
13|2|E'2020-11-29 20:59:44'
14|6|E'2020-11-29 20:59:44'
15|2|E'2020-11-29 20:59:44'
16|1|E'2020-11-29 20:59:44'
17|3|E'2020-11-29 20:59:44'
18|2|E'2020-11-29 20:59:44'
19|3|E'2020-11-29 20:59:44'
20|1|E'2020-11-29 20:59:44'
21|3|E'2020-11-29 20:59:44'
22|1|E'2020-11-29 20:59:44'
23|1|E'2020-11-29 20:59:44'
24|3|E'2020-11-29 20:59:44'
25|3|E'2020-11-29 20:59:44'
26|5|E'2020-11-29 20:59:44'
27|1|E'2020-11-29 20:59:44'
28|3|E'2020-11-29 20:59:44'
29|3|E'2020-11-29 20:59:44'
30|1|E'2020-11-29 20:59:44'
31|2|E'2020-11-29 20:59:44'
32|3|E'2020-11-29 20:59:44'
33|3|E'2020-11-29 20:59:44'
34|11|E'2020-11-29 20:59:44'
35|6|E'2020-11-29 20:59:44'
36|1|E'2020-11-29 20:59:44'
37|1|E'2020-11-29 20:59:44'
38|1|E'2020-11-29 20:59:44'
39|11|E'2020-11-29 20:59:44'
40|5|E'2020-11-29 20:59:44'
41|6|E'2020-11-29 20:59:44'
42|2|E'2020-11-29 20:59:44'
43|2|E'2020-11-29 20:59:44'
44|3|E'2020-11-29 20:59:44'
45|1|E'2020-11-29 20:59:44'
46|1|E'2020-11-29 20:59:44'
47|2|E'2020-11-29 20:59:44'
48|1|E'2020-11-29 20:59:44'
49|3|E'2020-11-29 20:59:44'
50|3|E'2020-11-29 20:59:44'
51|7|E'2020-11-29 20:59:44'
52|6|E'2020-11-29 20:59:44'
53|3|E'2020-11-29 20:59:44'
54|1|E'2020-11-29 20:59:44'
55|1|E'2020-11-29 20:59:44'
56|1|E'2020-11-29 20:59:44'
57|6|E'2020-11-29 20:59:44'
58|1|E'2020-11-29 20:59:44'
59|2|E'2020-11-29 20:59:44'
60|7|E'2020-11-29 20:59:44'
61|2|E'2020-11-29 20:59:44'
62|3|E'2020-11-29 20:59:44'
63|3|E'2020-11-29 20:59:44'
64|3|E'2020-11-29 20:59:44'
65|3|E'2020-11-29 20:59:44'
66|1|E'2020-11-29 20:59:44'
67|2|E'2020-11-29 20:59:44'
68|2|E'2020-11-29 20:59:44'
69|3|E'2020-11-29 20:59:44'
70|3|E'2020-11-29 20:59:44'
71|3|E'2020-11-29 20:59:44'
72|6|E'2020-11-29 20:59:44'
73|3|E'2020-11-29 20:59:44'
74|3|E'2020-11-29 20:59:44'
75|1|E'2020-11-29 20:59:44'
76|3|E'2020-11-29 20:59:44'
77|5|E'2020-11-29 20:59:44'
78|3|E'2020-11-29 20:59:44'
79|1|E'2020-11-29 20:59:44'
80|2|E'2020-11-29 20:59:44'
81|1|E'2020-11-29 20:59:44'
82|3|E'2020-11-29 20:59:44'
83|2|E'2020-11-29 20:59:44'
84|3|E'2020-11-29 20:59:44'
85|2|E'2020-11-29 20:59:44'
86|2|E'2020-11-29 20:59:44'
87|6|E'2020-11-29 20:59:44'
88|2|E'2020-11-29 20:59:44'
89|2|E'2020-11-29 20:59:44'
90|2|E'2020-11-29 20:59:44'
91|3|E'2020-11-29 20:59:44'
92|2|E'2020-11-29 20:59:44'
93|3|E'2020-11-29 20:59:44'
94|3|E'2020-11-29 20:59:44'
95|1|E'2020-11-29 20:59:44'
96|3|E'2020-11-29 20:59:44'
97|6|E'2020-11-29 20:59:44'
98|2|E'2020-11-29 20:59:44'
99|6|E'2020-11-29 20:59:44'
100|2|E'2020-11-29 20:59:44'
101|2|E'2020-11-29 20:59:44'
102|1|E'2020-11-29 20:59:44'
103|2|E'2020-11-29 20:59:44'
104|5|E'2020-11-29 20:59:44'
105|1|E'2020-11-29 20:59:44'
106|2|E'2020-11-29 20:59:44'
107|1|E'2020-11-29 20:59:44'
108|1|E'2020-11-29 20:59:44'
109|1|E'2020-11-29 20:59:44'
110|3|E'2020-11-29 20:59:44'
111|3|E'2020-11-29 20:59:44'
112|2|E'2020-11-29 20:59:44'
113|3|E'2020-11-29 20:59:44'
114|6|E'2020-11-29 20:59:44'
115|3|E'2020-11-29 20:59:44'
116|1|E'2020-11-29 20:59:44'
117|1|E'2020-11-29 20:59:44'
118|3|E'2020-11-29 20:59:44'
119|3|E'2020-11-29 20:59:44'
120|3|E'2020-11-29 20:59:44'
121|1|E'2020-11-29 20:59:44'
122|3|E'2020-11-29 20:59:44'
123|2|E'2020-11-29 20:59:44'
124|5|E'2020-11-29 20:59:44'
125|1|E'2020-11-29 20:59:44'
126|1|E'2020-11-29 20:59:44'
127|3|E'2020-11-29 20:59:44'
128|2|E'2020-11-29 20:59:44'
129|3|E'2020-11-29 20:59:44'
130|3|E'2020-11-29 20:59:44'
131|2|E'2020-11-29 20:59:44'
132|1|E'2020-11-29 20:59:44'
133|3|E'2020-11-29 20:59:44'
134|3|E'2020-11-29 20:59:44'
135|1|E'2020-11-29 20:59:44'
136|6|E'2020-11-29 20:59:44'
137|1|E'2020-11-29 20:59:44'
138|1|E'2020-11-29 20:59:44'
139|2|E'2020-11-29 20:59:44'
140|3|E'2020-11-29 20:59:44'
141|1|E'2020-11-29 20:59:44'
142|3|E'2020-11-29 20:59:44'
143|1|E'2020-11-29 20:59:44'
144|6|E'2020-11-29 20:59:44'
145|6|E'2020-11-29 20:59:44'
146|3|E'2020-11-29 20:59:44'
147|3|E'2020-11-29 20:59:44'
148|2|E'2020-11-29 20:59:44'
149|3|E'2020-11-29 20:59:44'
150|6|E'2020-11-29 20:59:44'
151|1|E'2020-11-29 20:59:44'
152|3|E'2020-11-29 20:59:44'
153|2|E'2020-11-29 20:59:44'
154|3|E'2020-11-29 20:59:44'
155|3|E'2020-11-29 20:59:44'
156|3|E'2020-11-29 20:59:44'
157|8|E'2020-11-29 20:59:44'
158|8|E'2020-11-29 20:59:44'
159|1|E'2020-11-29 20:59:44'
160|1|E'2020-11-29 20:59:44'
161|3|E'2020-11-29 20:59:44'
162|2|E'2020-11-29 20:59:44'
163|2|E'2020-11-29 20:59:44'
164|1|E'2020-11-29 20:59:44'
165|2|E'2020-11-29 20:59:44'
166|3|E'2020-11-29 20:59:44'
167|1|E'2020-11-29 20:59:44'
168|4|E'2020-11-29 20:59:44'
169|1|E'2020-11-29 20:59:44'
170|2|E'2020-11-29 20:59:44'
171|3|E'2020-11-29 20:59:44'
172|3|E'2020-11-29 20:59:44'
173|1|E'2020-11-29 20:59:44'
174|2|E'2020-11-29 20:59:44'
175|3|E'2020-11-29 20:59:44'
176|1|E'2020-11-29 20:59:44'
177|11|E'2020-11-29 20:59:44'
178|1|E'2020-11-29 20:59:44'
179|1|E'2020-11-29 20:59:44'
180|1|E'2020-11-29 20:59:44'
181|6|E'2020-11-29 20:59:44'
182|3|E'2020-11-29 20:59:44'
183|4|E'2020-11-29 20:59:44'
184|1|E'2020-11-29 20:59:44'
185|3|E'2020-11-29 20:59:44'
186|2|E'2020-11-29 20:59:44'
187|3|E'2020-11-29 20:59:44'
188|1|E'2020-11-29 20:59:44'
189|3|E'2020-11-29 20:59:44'
190|2|E'2020-11-29 20:59:44'
191|2|E'2020-11-29 20:59:44'
192|3|E'2020-11-29 20:59:44'
193|3|E'2020-11-29 20:59:44'
194|6|E'2020-11-29 20:59:44'
195|1|E'2020-11-29 20:59:44'
196|1|E'2020-11-29 20:59:44'
197|1|E'2020-11-29 20:59:44'
198|3|E'2020-11-29 20:59:44'
199|1|E'2020-11-29 20:59:44'
200|4|E'2020-11-29 20:59:44'
