gameId|pubId|lastUpdate
1|1|2020-11-23 13:03:31
2|2|2020-11-23 13:03:31
3|1|2020-11-23 13:03:31
4|1|2020-11-23 13:03:31
5|5|2020-11-23 13:03:31
6|2|2020-11-23 13:03:31
7|7|2020-11-23 13:03:31
8|8|2020-11-23 13:03:31
9|2|2020-11-23 13:03:31
10|10|2020-11-23 13:03:31
11|7|2020-11-23 13:03:31
12|12|2020-11-23 13:03:31
13|10|2020-11-23 13:03:31
14|14|2020-11-23 13:03:31
15|14|2020-11-23 13:03:31
16|16|2020-11-23 13:03:31
17|17|2020-11-23 13:03:31
18|18|2020-11-23 13:03:31
19|19|2020-11-23 13:03:31
20|12|2020-11-23 13:03:31
21|18|2020-11-23 13:03:31
22|1|2020-11-23 13:03:31
23|1|2020-11-23 13:03:31
24|17|2020-11-23 13:03:31
25|1|2020-11-23 13:03:31
26|1|2020-11-23 13:03:31
27|12|2020-11-23 13:03:31
28|28|2020-11-23 13:03:31
29|29|2020-11-23 13:03:31
30|1|2020-11-23 13:03:31
31|29|2020-11-23 13:03:31
32|32|2020-11-23 13:03:31
33|12|2020-11-23 13:03:31
34|34|2020-11-23 13:03:31
35|32|2020-11-23 13:03:31
36|1|2020-11-23 13:03:31
37|1|2020-11-23 13:03:31
38|7|2020-11-23 13:03:31
39|1|2020-11-23 13:03:31
40|40|2020-11-23 13:03:31
41|28|2020-11-23 13:03:31
42|32|2020-11-23 13:03:31
43|43|2020-11-23 13:03:31
44|12|2020-11-23 13:03:31
45|45|2020-11-23 13:03:31
46|18|2020-11-23 13:03:31
47|1|2020-11-23 13:03:31
48|12|2020-11-23 13:03:31
49|1|2020-11-23 13:03:31
50|32|2020-11-23 13:03:31
51|17|2020-11-23 13:03:31
52|52|2020-11-23 13:03:31
53|43|2020-11-23 13:03:31
54|1|2020-11-23 13:03:31
55|7|2020-11-23 13:03:31
56|56|2020-11-23 13:03:31
57|12|2020-11-23 13:03:31
58|1|2020-11-23 13:03:31
59|12|2020-11-23 13:03:31
60|60|2020-11-23 13:03:31
61|2|2020-11-23 13:03:31
62|18|2020-11-23 13:03:31
63|14|2020-11-23 13:03:31
64|12|2020-11-23 13:03:31
65|32|2020-11-23 13:03:31
66|1|2020-11-23 13:03:31
67|67|2020-11-23 13:03:31
68|43|2020-11-23 13:03:31
69|28|2020-11-23 13:03:31
70|12|2020-11-23 13:03:31
71|12|2020-11-23 13:03:31
72|12|2020-11-23 13:03:31
73|73|2020-11-23 13:03:31
74|1|2020-11-23 13:03:31
75|29|2020-11-23 13:03:31
76|7|2020-11-23 13:03:31
77|32|2020-11-23 13:03:31
78|67|2020-11-23 13:03:31
79|1|2020-11-23 13:03:31
80|2|2020-11-23 13:03:31
81|81|2020-11-23 13:03:31
82|10|2020-11-23 13:03:31
83|73|2020-11-23 13:03:31
84|7|2020-11-23 13:03:31
85|10|2020-11-23 13:03:31
86|67|2020-11-23 13:03:31
87|73|2020-11-23 13:03:31
88|16|2020-11-23 13:03:31
89|89|2020-11-23 13:03:31
90|12|2020-11-23 13:03:31
91|1|2020-11-23 13:03:31
92|92|2020-11-23 13:03:31
93|93|2020-11-23 13:03:31
94|2|2020-11-23 13:03:31
95|73|2020-11-23 13:03:31
96|89|2020-11-23 13:03:31
97|97|2020-11-23 13:03:31
98|16|2020-11-23 13:03:31
99|2|2020-11-23 13:03:31
100|1|2020-11-23 13:03:31
101|101|2020-11-23 13:03:31
102|102|2020-11-23 13:03:31
103|10|2020-11-23 13:03:31
104|1|2020-11-23 13:03:31
105|1|2020-11-23 13:03:31
106|106|2020-11-23 13:03:31
107|60|2020-11-23 13:03:31
108|43|2020-11-23 13:03:31
109|109|2020-11-23 13:03:31
110|32|2020-11-23 13:03:31
111|17|2020-11-23 13:03:31
112|18|2020-11-23 13:03:31
113|32|2020-11-23 13:03:31
114|12|2020-11-23 13:03:31
115|1|2020-11-23 13:03:31
116|67|2020-11-23 13:03:31
117|8|2020-11-23 13:03:31
118|12|2020-11-23 13:03:31
119|1|2020-11-23 13:03:31
120|73|2020-11-23 13:03:31
121|43|2020-11-23 13:03:31
122|122|2020-11-23 13:03:31
123|18|2020-11-23 13:03:31
124|124|2020-11-23 13:03:31
125|125|2020-11-23 13:03:31
126|1|2020-11-23 13:03:31
127|73|2020-11-23 13:03:31
128|128|2020-11-23 13:03:31
129|28|2020-11-23 13:03:31
130|1|2020-11-23 13:03:31
131|131|2020-11-23 13:03:31
132|132|2020-11-23 13:03:31
133|32|2020-11-23 13:03:31
134|134|2020-11-23 13:03:31
135|12|2020-11-23 13:03:31
136|12|2020-11-23 13:03:31
137|14|2020-11-23 13:03:31
138|1|2020-11-23 13:03:31
139|73|2020-11-23 13:03:31
140|32|2020-11-23 13:03:31
141|101|2020-11-23 13:03:31
142|18|2020-11-23 13:03:31
143|32|2020-11-23 13:03:31
144|73|2020-11-23 13:03:31
145|12|2020-11-23 13:03:31
146|73|2020-11-23 13:03:31
147|89|2020-11-23 13:03:31
148|7|2020-11-23 13:03:31
149|16|2020-11-23 13:03:31
150|16|2020-11-23 13:03:31
151|151|2020-11-23 13:03:31
152|17|2020-11-23 13:03:31
153|1|2020-11-23 13:03:31
154|154|2020-11-23 13:03:31
155|2|2020-11-23 13:03:31
156|32|2020-11-23 13:03:31
157|12|2020-11-23 13:03:31
158|102|2020-11-23 13:03:31
159|60|2020-11-23 13:03:31
160|160|2020-11-23 13:03:31
161|12|2020-11-23 13:03:31
162|12|2020-11-23 13:03:31
163|163|2020-11-23 13:03:31
164|1|2020-11-23 13:03:31
165|165|2020-11-23 13:03:31
166|17|2020-11-23 13:03:31
167|1|2020-11-23 13:03:31
168|12|2020-11-23 13:03:31
169|12|2020-11-23 13:03:31
170|1|2020-11-23 13:03:31
171|17|2020-11-23 13:03:31
172|12|2020-11-23 13:03:31
173|92|2020-11-23 13:03:31
174|1|2020-11-23 13:03:31
175|12|2020-11-23 13:03:31
176|176|2020-11-23 13:03:31
177|43|2020-11-23 13:03:31
178|8|2020-11-23 13:03:31
179|16|2020-11-23 13:03:31
180|1|2020-11-23 13:03:31
181|12|2020-11-23 13:03:31
182|182|2020-11-23 13:03:31
183|14|2020-11-23 13:03:31
184|17|2020-11-23 13:03:31
185|185|2020-11-23 13:03:31
186|5|2020-11-23 13:03:31
187|17|2020-11-23 13:03:31
188|160|2020-11-23 13:03:31
189|10|2020-11-23 13:03:31
190|14|2020-11-23 13:03:31
191|16|2020-11-23 13:03:31
192|60|2020-11-23 13:03:31
193|7|2020-11-23 13:03:31
194|32|2020-11-23 13:03:31
195|195|2020-11-23 13:03:31
196|43|2020-11-23 13:03:31
197|93|2020-11-23 13:03:31
198|198|2020-11-23 13:03:31
199|160|2020-11-23 13:03:31
200|198|2020-11-23 13:03:31
201|67|2020-11-23 13:03:31
202|202|2020-11-23 13:03:31
203|198|2020-11-23 13:03:31
204|16|2020-11-23 13:03:31
205|67|2020-11-23 13:03:31
206|1|2020-11-23 13:03:31
207|16|2020-11-23 13:03:31
208|60|2020-11-23 13:03:31
209|101|2020-11-23 13:03:31
210|101|2020-11-23 13:03:31
211|1|2020-11-23 13:03:31
212|160|2020-11-23 13:03:31
213|12|2020-11-23 13:03:31
214|1|2020-11-23 13:03:31
215|32|2020-11-23 13:03:31
216|92|2020-11-23 13:03:31
217|7|2020-11-23 13:03:31
218|12|2020-11-23 13:03:31
219|17|2020-11-23 13:03:31
220|220|2020-11-23 13:03:31
221|182|2020-11-23 13:03:31
222|12|2020-11-23 13:03:31
223|32|2020-11-23 13:03:31
224|202|2020-11-23 13:03:31
